,site,latitude,longitude,site_area,year_of_origin,site_shape,tree,species,angle,radius,year,has_any_damage,dead,snag,log,dbh,ba,height,crown_height,crown_width,category,site_type
15552,VA401,61.85789167,24.23838333,1600,1803,Circular,96,4,182,1735,2019,TRUE,TRUE,FALSE,TRUE,18.94201679,281.800861,NA,NA,NA,3,3
5238,VA401,61.85789167,24.23838333,1600,1803,Circular,97,4,179,2240,1993,FALSE,FALSE,NA,NA,28.44995606,635.7012735,258,153,NA,1,3
10277,VA401,61.85789167,24.23838333,1600,1803,Circular,97,4,179,2240,2006,FALSE,FALSE,NA,NA,32.24686031,816.7041342,265,182,NA,1,3
15553,VA401,61.85789167,24.23838333,1600,1803,Circular,97,4,179,2240,2019,FALSE,FALSE,FALSE,FALSE,35.24570896,975.6687225,314,202,297.5,1,3
5239,VA401,61.85789167,24.23838333,1600,1803,Circular,98,2,181,2200,1993,FALSE,FALSE,NA,NA,23.19913792,422.7012915,187,46,NA,1,3
10278,VA401,61.85789167,24.23838333,1600,1803,Circular,98,2,181,2200,2006,TRUE,FALSE,FALSE,FALSE,23.99812493,452.3186563,183,69,NA,1,3
15554,VA401,61.85789167,24.23838333,1600,1803,Circular,98,2,181,2200,2019,FALSE,FALSE,FALSE,FALSE,24.54383833,473.1238536,189,61.5,202.5,1,3
5240,VA401,61.85789167,24.23838333,1600,1803,Circular,99,2,190,2215,1993,FALSE,FALSE,NA,NA,23.79915965,444.8495197,NA,NA,NA,1,3
10279,VA401,61.85789167,24.23838333,1600,1803,Circular,99,2,190,2215,2006,FALSE,FALSE,NA,NA,24.99819994,490.8031663,NA,NA,NA,1,3
15555,VA401,61.85789167,24.23838333,1600,1803,Circular,99,2,190,2215,2019,FALSE,FALSE,FALSE,FALSE,26.79832084,564.033691,NA,NA,NA,1,3
5241,VA401,61.85789167,24.23838333,1600,1803,Circular,100,1,192,2185,1993,FALSE,FALSE,NA,NA,30.34666374,723.2888766,248,193,NA,1,3
10280,VA401,61.85789167,24.23838333,1600,1803,Circular,100,1,192,2185,2006,FALSE,FALSE,NA,NA,31.4960315,779.1149781,255,188,NA,1,3
15556,VA401,61.85789167,24.23838333,1600,1803,Circular,100,1,192,2185,2019,FALSE,FALSE,FALSE,FALSE,32.29860678,819.3273641,271,208,165,1,3
5242,VA401,61.85789167,24.23838333,1600,1803,Circular,101,2,191,1930,1993,FALSE,FALSE,NA,NA,28.04959893,617.935567,NA,NA,NA,1,3
10281,VA401,61.85789167,24.23838333,1600,1803,Circular,101,2,191,1930,2006,FALSE,FALSE,NA,NA,30.69983713,740.222061,NA,NA,NA,1,3
15557,VA401,61.85789167,24.23838333,1600,1803,Circular,101,2,191,1930,2019,FALSE,FALSE,FALSE,FALSE,34.39767434,929.2831069,NA,NA,NA,1,3
5243,VA401,61.85789167,24.23838333,1600,1803,Circular,102,4,190,1425,1993,FALSE,FALSE,NA,NA,35.82820118,1008.184206,278,185,NA,1,3
10282,VA401,61.85789167,24.23838333,1600,1803,Circular,102,4,190,1425,2006,FALSE,FALSE,NA,NA,37.42913304,1100.295703,273,195,NA,1,3
15558,VA401,61.85789167,24.23838333,1600,1803,Circular,102,4,190,1425,2019,FALSE,FALSE,FALSE,FALSE,37.74042925,1118.67402,313,221,347.5,1,3
5244,VA401,61.85789167,24.23838333,1600,1803,Circular,103,2,187,950,1993,FALSE,FALSE,NA,NA,23.34737673,428.1205389,NA,NA,NA,1,3
10283,VA401,61.85789167,24.23838333,1600,1803,Circular,103,2,187,950,2006,FALSE,FALSE,NA,NA,24.39918031,467.5632346,NA,NA,NA,1,3
15559,VA401,61.85789167,24.23838333,1600,1803,Circular,103,2,187,950,2019,FALSE,FALSE,FALSE,FALSE,25.74995146,520.7661062,NA,NA,NA,1,3
5245,VA401,61.85789167,24.23838333,1600,1803,Circular,104,1,188,840,1993,FALSE,FALSE,NA,NA,36.29325006,1034.526461,301,213,NA,1,3
10284,VA401,61.85789167,24.23838333,1600,1803,Circular,104,1,188,840,2006,FALSE,FALSE,NA,NA,38.14996723,1143.084195,305,218,NA,1,3
15560,VA401,61.85789167,24.23838333,1600,1803,Circular,104,1,188,840,2019,FALSE,FALSE,FALSE,FALSE,39.94621384,1253.259849,308,241,182.5,1,3
5246,VA401,61.85789167,24.23838333,1600,1803,Circular,105,1,191,285,1993,FALSE,FALSE,NA,NA,35.4440404,986.6800047,260,200,NA,1,3
10285,VA401,61.85789167,24.23838333,1600,1803,Circular,105,1,191,285,2006,FALSE,FALSE,NA,NA,36.84426685,1066.178007,268,202,NA,1,3
15561,VA401,61.85789167,24.23838333,1600,1803,Circular,105,1,191,285,2019,FALSE,FALSE,FALSE,FALSE,38.34605586,1154.865167,300,261,212.5,1,3
5247,VA401,61.85789167,24.23838333,1600,1803,Circular,106,2,197,450,1993,FALSE,FALSE,NA,NA,19.2989637,292.521546,NA,NA,NA,1,3
10286,VA401,61.85789167,24.23838333,1600,1803,Circular,106,2,197,450,2006,FALSE,FALSE,NA,NA,19.84691412,309.3683366,NA,NA,NA,1,3
15562,VA401,61.85789167,24.23838333,1600,1803,Circular,106,2,197,450,2019,FALSE,FALSE,FALSE,FALSE,20.64509627,334.7524052,NA,NA,NA,1,3
5248,VA401,61.85789167,24.23838333,1600,1803,Circular,107,5,199,650,1993,FALSE,FALSE,NA,NA,34.23390133,920.4552316,259,166,NA,1,3
10287,VA401,61.85789167,24.23838333,1600,1803,Circular,107,5,199,650,2006,FALSE,FALSE,NA,NA,37.33229165,1094.60942,283,199,NA,1,3
15563,VA401,61.85789167,24.23838333,1600,1803,Circular,107,5,199,650,2019,FALSE,FALSE,FALSE,FALSE,40.69889433,1300.933518,281,256,345,1,3
5249,VA401,61.85789167,24.23838333,1600,1803,Circular,108,2,195,790,1993,FALSE,FALSE,NA,NA,16.18486948,205.7350489,NA,NA,NA,1,3
10288,VA401,61.85789167,24.23838333,1600,1803,Circular,108,2,195,790,2006,FALSE,FALSE,NA,NA,16.5408585,214.8849375,NA,NA,NA,1,3
15564,VA401,61.85789167,24.23838333,1600,1803,Circular,108,2,195,790,2019,FALSE,FALSE,FALSE,FALSE,17.04112672,228.0796267,NA,NA,NA,1,3
5250,VA401,61.85789167,24.23838333,1600,1803,Circular,109,2,199,1035,1993,FALSE,FALSE,NA,NA,13.54990775,144.1991028,NA,NA,NA,1,3
10289,VA401,61.85789167,24.23838333,1600,1803,Circular,109,2,199,1035,2006,TRUE,TRUE,TRUE,FALSE,12.94990347,131.711272,NA,NA,NA,3,3
15565,VA401,61.85789167,24.23838333,1600,1803,Circular,109,2,199,1035,2019,TRUE,TRUE,TRUE,FALSE,12.94990347,131.711272,NA,NA,NA,3,3
5251,VA401,61.85789167,24.23838333,1600,1803,Circular,110,2,200,1640,1993,FALSE,FALSE,NA,NA,17.09736822,229.5875911,187,120,NA,1,3
10290,VA401,61.85789167,24.23838333,1600,1803,Circular,110,2,200,1640,2006,FALSE,FALSE,NA,NA,18.49324201,268.6061719,202,117,NA,1,3
15566,VA401,61.85789167,24.23838333,1600,1803,Circular,110,2,200,1640,2019,FALSE,FALSE,FALSE,FALSE,20.59781542,333.2208788,223,138,152.5,1,3
5252,VA401,61.85789167,24.23838333,1600,1803,Circular,111,2,200,1760,1993,FALSE,FALSE,NA,NA,18.44667992,267.255287,NA,NA,NA,1,3
10291,VA401,61.85789167,24.23838333,1600,1803,Circular,111,2,200,1760,2006,FALSE,FALSE,NA,NA,18.89576672,280.4264142,NA,NA,NA,1,3
15567,VA401,61.85789167,24.23838333,1600,1803,Circular,111,2,200,1760,2019,FALSE,FALSE,FALSE,FALSE,19.44839325,297.0690013,NA,NA,NA,1,3
5253,VA401,61.85789167,24.23838333,1600,1803,Circular,112,2,202,1880,1993,FALSE,FALSE,NA,NA,12.79960937,128.6717811,NA,NA,NA,1,3
10292,VA401,61.85789167,24.23838333,1600,1803,Circular,112,2,202,1880,2006,FALSE,FALSE,NA,NA,12.94990347,131.711272,NA,NA,NA,1,3
15568,VA401,61.85789167,24.23838333,1600,1803,Circular,112,2,202,1880,2019,TRUE,TRUE,TRUE,FALSE,12.94913124,131.695564,NA,NA,NA,3,3
5254,VA401,61.85789167,24.23838333,1600,1803,Circular,113,2,206,2150,1993,FALSE,FALSE,NA,NA,15.64928113,192.3440102,NA,NA,NA,1,3
